Food,Size,Price,Protein-per-100g,Protein-in-food,Price-g-protein,Price-40g-protein,Link,Rel
Mathilde Kakaomælk,1000,"15,0","3,6","36,0","0,42","16,67","https://www.bilkatogo.dk/produkt/Matilde-Kakaom%C3%A6lk-0,5-fedt/19668/",nofollow noopener
Arla Proteinbudding,200,"12,5","10,0","20,0","0,63","25,00",https://www.bilkatogo.dk/produkt/Arla-Protein-Protein-budding-m.-chokoladesmag/89691/,nofollow noopener
Æg Øko,530,"28,0","12,0","63,6","0,44","17,61",https://www.bilkatogo.dk/produkt/Salling-%C3%98KO-%C3%86g-M_L-%C3%B8ko/53366/,nofollow noopener
Skyr,1000,"20,0","8,6","86,0","0,23","9,30",https://www.bilkatogo.dk/produkt/Cheasy-Skyr-m.-vanilje-0%2C2-fedt-u.-tilsat-sukker/19753/,nofollow noopener
Proteinpulver,1000,"249,0","70,0","700,0","0,36","14,23",https://aslinkhub.com/?cid=11630&pid=31656&productGroup=bodylab&media_id=90737&deeplink=https://www.bodylab.dk/shop/bodylab-whey-100-663p.html,sponsored nofollow noopener
Hakket Oksekød 5-10% fedt,500,"60,0","19,5","97,5","0,61","24,59",https://www.bilkatogo.dk/produkt/Slagteren-Oksek%C3%B8d-Hakket-oksek%C3%B8d-8_12-fedt/38984/,nofollow noopener
Tykstegsfilet okse,600,"199,0","21,8","130,8","1,52","60,86",https://www.bilkatogo.dk/produkt/Ludvig-Tykstegsb%C3%B8ffer/60764/,nofollow noopener
Kylling,550,"65,0","24,0","132,0","0,49","19,70",https://www.bilkatogo.dk/produkt/De-Danske-Familieg%C3%A5rde-Kyllingebrystfilet/56406/,nofollow noopener
Røde linser,400,"25,0","36,0","144,0","0,17","6,93",https://www.partner-ads.com/dk/produktseeker_link.php?feedid=181&produktid=5765228104439&programid=3513&partnerid=28187,sponsored nofollow noopener
Skummetmælk,1000,"10,5","3,6","36,0","0,29","11,67",https://www.bilkatogo.dk/produkt/Salling-Skummetm%C3%A6lk-0%2C1-fedt/84122/,nofollow noopener
